code,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,D35,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L68,M69_M70,M71,M72,M73,M74_M75,N,O84,P85,Q,R_S,T,U,capital,labor,TXSP,TAX2,CONS_h,CONS_np,CONS_g,GFCF,INVEN
C17,33.055149413891314,0.40930448954749138,0.40510051984853079,25.522034289194981,447.93983936137136,9.3139153637916383,14.134225142109722,401.18372713433587,233.7709343,2.9368282033068231,50.208142922074146,41.67011814576351,42.489258554607552,47.640288484082461,13.932279429707949,18.832744847369508,9.9284772170578357,7.4547141978223239,10.526535872246509,14.876361563887404,4.8037855963782032,8.412046066807811,0,17.672851924565343,2.9758844680606185,1.1787147919380676,160.87088841741502,7.4847260968212339,219.04273240951301,142.37473882948734,17.849019395748119,1.5575755505268325,15.982112781615944,8.0990703494761362,8.7183406806543395,94.358957751516584,183.27542463468359,5.988573947537728,37.497606190885513,23.551388030504913,10.339432580520214,0.17390971689757917,0.62729825176044596,13.550028710937758,45.497207781300474,0,0,0,0,33.020208720294654,119.19267832584119,83.261323852443098,98.250332171453636,33.086806783517474,12.632314814109451,0,,,,,638.39561521921758,0,0.88999291314764128,25.456642449982141,-63.91684073
C18,12.824502113713537,1.4699939416125041,0.6484349205222586,32.33046144329635,108.09542458906111,9.9479606896703281,7.9345017897098202,93.80177644888569,66.613484766906737,2.5615289841755726,28.957659227217135,11.054146872405019,22.553113739542074,20.694022056232754,19.708961506759387,27.397408199954207,10.474786059757843,10.473317603821307,28.128582922877865,32.595058120354473,7.4868288244233003,9.1333259700850391,0,25.995416610229949,5.7545929208017554,3.5891184348112324,140.62502577768271,14.870242381850048,460.89128504577195,548.3987806958437,18.071608131197628,1.6687677544846506,4.8801039671816353,7.0616325438348273,31.697779387637262,129.51113803985365,115.44707719975283,69.533040830060713,141.02726183049518,130.45018586490175,32.171941145748299,0.63706729233298665,0.82331952027277999,54.273730749534032,149.99246751454882,0,0,0,0,137.7866474009418,369.83919618752236,169.39346223454498,47.812461983060409,181.41890171808765,35.378491438411999,0,,,,,123.39524514510221,0,3.4258330678017774,24.810760131678496,-6.330327014
C19,513.3962471033675,75.743072784946975,62.903060803856008,1441.315645277203,72.455951400617124,6.183503840547969,30.547360138192705,22.518848270201079,8.3288372665887707,546.80075069408508,246.26725655871118,6.7945323462726721,102.43339594328182,51.549035307976844,136.13518161387378,49.164058180656994,7.9193338176846888,9.0181281834135181,13.634492575942216,30.890522048184309,11.937732974062534,7.6059033715250042,0,107.54252043055617,141.52414921151004,42.662430834358631,477.24694643032041,82.639399939065228,107.01139302117603,39.980253757836664,1794.0605081265314,112.16287634612578,824.75248986783754,75.494933606201727,130.56825322714633,48.822883145228701,8.229429880508178,9.2687398773782821,196.78360608205384,22.129195903886384,3.204787961886693,0.34657638043049843,0.82490957866540071,25.23123531,51.851087852762106,0,0,0,0,47.956490481677911,252.01353639606396,20.941397413777313,55.298779831640985,51.733471413738066,15.619636188673214,0,,,,,2993.3954000765825,0,2.2433809227089743,69.427808657009237,101.92203312779311
C20,584.10228019254714,27.398664912389332,4.7004862512126078,249.8176496211411,96.680789183872164,24.725617822240952,42.790420270716773,100.75902115247789,72.520471396181804,211.2163436896135,1153.8956488098534,74.88226285029485,813.55350903668409,94.974496265799814,87.011722216377748,66.185607847024059,42.337267785870324,46.199748209002088,21.288573896549966,86.291572608047488,31.435118574814538,33.282330119581381,0,36.492435515355986,95.147065361333787,1.9715623221548413,485.69055571039604,22.101287399443219,120.90913598250465,53.760130019452461,48.195485633780422,1.6614697967053751,12.085294137988564,21.818768901705614,5.7481330312120065,99.279380944137969,6.2019724219268664,21.983286559728715,24.566627741492933,38.369385758707374,2.4512535312138786,0.37613740324215755,2.5950608612336237,54.218238349975884,93.62082635180758,0,0,0,0,153.2469806928884,98.121049332093364,32.66773064415591,95.710445952825111,141.51275278144678,48.421776606617513,0,,,,,966.82043453336121,0,12.407176594059845,116.81479120229228,128.72204388101454
C21,353.55922285131106,0.91513270043855566,0.49739190565179697,14.164535770449865,22.303193104461222,2.8857044711306181,2.734744841962125,15.978673324239908,6.0995186425249575,6.4087117214571041,28.006903733196701,115.8017211225763,17.643459721548577,4.7646072384933005,8.5085766854924483,6.0084492013270037,2.8128148447740893,2.2189105488402645,2.745695905851822,8.6087071827888462,2.1612734572792709,2.0642900104163231,0,3.3889581305654422,2.8745381144869819,0.14671771873792816,35.386022297872294,5.4731980680544208,27.979085966628684,17.586990144393798,5.1866471793976636,2.4662776212690627,3.2947312832796998,6.1358596859635615,1.0646704991147289,16.505582428786575,4.9879912551907521,7.9327030544833086,5.275095496342713,8.9918024553953639,1.4256689023062836,0.42349302988507398,1.8395895192864822,10.763462316373204,24.831391012701197,0,0,0,0,21.204520304024097,11.76647065359767,24.606161596462162,109.58138844022808,201.38261973748425,3.0004600705157092,0,,,,,464.1228625642986,0,422.82795337009662,45.555301959804112,13.153058804003633
C22,89.088683589056572,5.8096726721058252,11.070895705842767,62.24855243699583,544.06210147498177,33.688082330306266,53.366045316751794,103.41505028613659,221.75568929417128,42.745797872760306,284.82032981302251,71.019150078658782,269.67503785102235,36.047600859479004,54.050526692018927,65.123343610454583,70.744158941110072,37.946002933235434,72.095461480413107,354.95479934392881,50.465905588478165,109.21796673780068,0,20.306081564604412,47.743396596187367,1.1424038011085227,855.16450485511052,67.975681025181856,229.28870045797902,110.89590816229324,110.6824279251353,1.798232256596453,37.417228090888756,55.912731840381014,32.002832170803323,122.17280093677937,22.768336445013652,7.5004249075412046,112.74138270267369,44.008648753991203,2.0147095954808711,0.23557065280294942,0.96798974106508417,106.30097353362005,51.365071788846038,0,0,0,0,59.686458205335157,182.94160483181255,40.557128809846702,50.445949085511565,79.558345520035502,13.168889645812254,0,,,,,437.44496782354543,0,3.0917909514419382,382.22843206193193,20.561843403485746
C23,43.521114941437865,21.368890737541779,2.6890272305173206,42.774747827111703,184.68504622792625,5.0747153668114953,30.823188271048387,8.0954969572337543,8.2010534134673847,7.3181839233116399,70.701669360586948,22.133478383644647,50.037211547137204,1216.8925659010235,95.121260961979686,159.3835863904078,21.975342097716116,33.610480150060766,37.310723494299218,123.70920891192689,22.311812830663143,30.691097472068758,0,87.53152812390681,43.476077621258071,0.90072897166379784,2762.0324590774462,45.441333901494481,122.53813931451401,39.685782404876363,14.664631208564071,0.46437992944812906,4.0050863610421255,8.7832616164621395,2.0266056005256208,79.239575937912491,3.0527649155936993,3.510646936461828,9.3062857821759053,7.7058609766432964,1.7223254006631397,0.29780339403765699,1.3343126137967054,69.910571674981654,26.725984203842646,0,0,0,0,32.402918351487379,46.982320645518158,15.023131791861461,37.923171829451455,70.681292713280001,9.5183056161820936,0,,,,,268.54168496821535,0,3.2271827729462066,86.72314647831675,64.064221619092251
C24,21.351764986146677,3.388699786869994,2.225773836095803,193.50390998785582,34.738402181946014,27.364828185370055,38.983825482572513,15.543090311775156,28.970576596092634,36.141398239592633,53.608609200189221,5.1438966601388403,66.818935425573756,81.780581004941453,4824.2122329057247,2471.9285481637721,296.79330454061841,563.28984041545425,721.98155650882984,887.06649358331492,324.47121757486951,351.22572169866095,0,31.48640597960275,30.102426207085205,0.4828029609557109,1289.6215010085366,23.726150598685351,246.7856468142916,54.586256283813775,21.076395777543201,0.61738305727557907,3.6859310452593097,9.4413380723990379,4.5974414779547343,31.109630184116831,3.0998301994289972,5.6276749903918626,17.911553318248188,15.749312696772208,1.4343759611296607,0.55135376835176775,3.6848753251602373,103.34505580857369,55.945317546468345,0,0,0,0,27.2949707,54.168001867542877,13.882652503934766,17.339628433187912,138.99034618889192,4.8411975642178087,0,,,,,104.18155843874334,0,6.9381026481224568,178.87179767047184,186.83754907789546
C25,81.126239636238893,30.016789045504542,25.551855026396908,343.16810870072987,272.19636639799108,17.179565988434376,111.56881115207246,38.841397132296926,14.17934243707597,11.868731323832147,90.411505123045032,22.229436618967302,127.35974068735605,121.37856404570347,370.77526057167222,1339.5151154387017,58.14276038,134.31206355105974,477.40052222155089,288.88089269333773,217.89039245759642,108.68686576313273,0,71.793782891403367,176.32602063781758,1.5110323300309947,2843.9636130109293,52.422128560656191,149.30901569928841,123.78972909052038,162.67194591082432,1.5082270899302048,10.549177203448771,29.984822795679015,35.372266558747185,155.97258680039334,12.144923792473291,27.320332553286807,107.29896366438432,32.68140363,4.9181055956398314,1.0532941712911383,1.3306947426763061,158.51647135230715,52.82356950777951,0,0,0,0,40.410243910344079,191.44440336047853,114.73833629538038,52.786254925758776,155.24403072910209,22.421991893412137,0,,,,,436.68238618438062,0,3.9152749526389501,1191.6571904843388,-14.93393764
C26,16.485856246945477,4.8802221925632363,3.1546028390532808,35.880101005594668,17.672863268425303,3.122141466221831,3.1445751918573945,3.7933660828549227,4.2861669397970719,3.2934902435460591,9.0786343676779406,2.2061345438843447,8.4637082503278673,4.9622252502950639,9.578951293285721,16.062929254223498,42.551384628281589,27.346269508223894,28.190315180326696,28.696652864010023,41.799004386788766,4.8092704322119761,0,14.895860703985669,9.941782444,0.61441455637832354,112.33156947522893,23.243532387914524,45.338435376788773,22.804638509318139,28.953362400428826,1.0352808995870997,5.1296900278851743,27.81936505141439,16.676743064578972,22.565260377414251,4.6094984493063862,23.054736001150207,92.732613744260419,40.082214901070898,4.9761588708843236,0.87118440889596238,3.0157283300724442,20.086162827779312,81.028517355689061,0,0,0,0,34.565856411628509,52.507391760693203,53.268117363540497,79.917566059567903,86.137644802185264,6.012641181655475,0,,,,,576.19054643699781,0,17.183685896760924,799.59046124917552,-434.2077673
