SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q1,Q1-1989,CAD,Canadian Dollar,6,Millions,,,3038,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q2,Q2-1989,CAD,Canadian Dollar,6,Millions,,,1224,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q3,Q3-1989,CAD,Canadian Dollar,6,Millions,,,1676,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1989-Q4,Q4-1989,CAD,Canadian Dollar,6,Millions,,,1348,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1990-Q1,Q1-1990,CAD,Canadian Dollar,6,Millions,,,1475,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1990-Q2,Q2-1990,CAD,Canadian Dollar,6,Millions,,,2612,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1990-Q3,Q3-1990,CAD,Canadian Dollar,6,Millions,,,3782,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1990-Q4,Q4-1990,CAD,Canadian Dollar,6,Millions,,,2793,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1991-Q1,Q1-1991,CAD,Canadian Dollar,6,Millions,,,1436,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1991-Q2,Q2-1991,CAD,Canadian Dollar,6,Millions,,,2402,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1991-Q3,Q3-1991,CAD,Canadian Dollar,6,Millions,,,1665,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1991-Q4,Q4-1991,CAD,Canadian Dollar,6,Millions,,,1238,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1992-Q1,Q1-1992,CAD,Canadian Dollar,6,Millions,,,1730,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1992-Q2,Q2-1992,CAD,Canadian Dollar,6,Millions,,,2188,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1992-Q3,Q3-1992,CAD,Canadian Dollar,6,Millions,,,1743,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1992-Q4,Q4-1992,CAD,Canadian Dollar,6,Millions,,,3101,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1993-Q1,Q1-1993,CAD,Canadian Dollar,6,Millions,,,3555,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1993-Q2,Q2-1993,CAD,Canadian Dollar,6,Millions,,,3546,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1993-Q3,Q3-1993,CAD,Canadian Dollar,6,Millions,,,2909,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1993-Q4,Q4-1993,CAD,Canadian Dollar,6,Millions,,,2880,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1994-Q1,Q1-1994,CAD,Canadian Dollar,6,Millions,,,3635,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1994-Q2,Q2-1994,CAD,Canadian Dollar,6,Millions,,,3930,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1994-Q3,Q3-1994,CAD,Canadian Dollar,6,Millions,,,6298,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1994-Q4,Q4-1994,CAD,Canadian Dollar,6,Millions,,,6134,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1995-Q1,Q1-1995,CAD,Canadian Dollar,6,Millions,,,8533,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1995-Q2,Q2-1995,CAD,Canadian Dollar,6,Millions,,,7415,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1995-Q3,Q3-1995,CAD,Canadian Dollar,6,Millions,,,8509,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1995-Q4,Q4-1995,CAD,Canadian Dollar,6,Millions,,,10751,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1996-Q1,Q1-1996,CAD,Canadian Dollar,6,Millions,,,9316,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1996-Q2,Q2-1996,CAD,Canadian Dollar,6,Millions,,,12174,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1996-Q3,Q3-1996,CAD,Canadian Dollar,6,Millions,,,11564,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1996-Q4,Q4-1996,CAD,Canadian Dollar,6,Millions,,,8963,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1997-Q1,Q1-1997,CAD,Canadian Dollar,6,Millions,,,8749,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1997-Q2,Q2-1997,CAD,Canadian Dollar,6,Millions,,,6074,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1997-Q3,Q3-1997,CAD,Canadian Dollar,6,Millions,,,5284,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1997-Q4,Q4-1997,CAD,Canadian Dollar,6,Millions,,,5084,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1998-Q1,Q1-1998,CAD,Canadian Dollar,6,Millions,,,4996,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1998-Q2,Q2-1998,CAD,Canadian Dollar,6,Millions,,,5041,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1998-Q3,Q3-1998,CAD,Canadian Dollar,6,Millions,,,6773,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1998-Q4,Q4-1998,CAD,Canadian Dollar,6,Millions,,,6688,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1999-Q1,Q1-1999,CAD,Canadian Dollar,6,Millions,,,8904,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1999-Q2,Q2-1999,CAD,Canadian Dollar,6,Millions,,,9442,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1999-Q3,Q3-1999,CAD,Canadian Dollar,6,Millions,,,12032,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,1999-Q4,Q4-1999,CAD,Canadian Dollar,6,Millions,,,11138,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2000-Q1,Q1-2000,CAD,Canadian Dollar,6,Millions,,,13985,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2000-Q2,Q2-2000,CAD,Canadian Dollar,6,Millions,,,16002,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2000-Q3,Q3-2000,CAD,Canadian Dollar,6,Millions,,,17036,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2000-Q4,Q4-2000,CAD,Canadian Dollar,6,Millions,,,19386,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2001-Q1,Q1-2001,CAD,Canadian Dollar,6,Millions,,,22272,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2001-Q2,Q2-2001,CAD,Canadian Dollar,6,Millions,,,18392,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2001-Q3,Q3-2001,CAD,Canadian Dollar,6,Millions,,,14938,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2001-Q4,Q4-2001,CAD,Canadian Dollar,6,Millions,,,14471,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2002-Q1,Q1-2002,CAD,Canadian Dollar,6,Millions,,,15293,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2002-Q2,Q2-2002,CAD,Canadian Dollar,6,Millions,,,13524,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2002-Q3,Q3-2002,CAD,Canadian Dollar,6,Millions,,,13882,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2002-Q4,Q4-2002,CAD,Canadian Dollar,6,Millions,,,13740,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2003-Q1,Q1-2003,CAD,Canadian Dollar,6,Millions,,,15295,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2003-Q2,Q2-2003,CAD,Canadian Dollar,6,Millions,,,11307,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2003-Q3,Q3-2003,CAD,Canadian Dollar,6,Millions,,,14598,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2003-Q4,Q4-2003,CAD,Canadian Dollar,6,Millions,,,14358,,
